175,1162,1245
348,1437,2155
816,1575,1602
486,1164,1984
47,146,1163
318,534,1456
47,486,2167
486,1162,2042
37,486,1163
78,1329,1612
529,817,1245
298,1127,1270
177,520,1226
175,176,334
17,582,803
137,242,1226
807,1329,2045
326,693,807
149,210,1725
149,807,1987
84,1256,1367
134,1164,1326
292,944,1164
48,61,184
184,340,1214
30,190,1133
190,479,807
223,504,778
1275,2115,2175
96,452,807
1115,1245,1329
484,504,1466
551,1163,1986
13,587,919
151,162,353
131,216,807
86,255,1257
151,220,1129
9,15,103
79,298,1186
224,1440,2155
35,296,1457
1978,2132,2172
105,512,950
149,228,1268
175,1329,2149
985,1031,1493
520,564,815
807,1329,1658
149,161,378
151,482,1352
17,807,2020
303,547,549
45,1207,1245
807,1317,2067
479,948,1128
807,1329,2167
532,865,2166
430,444,778
736,807,2098
132,161,280
151,1462,1611
118,1508,2067
550,807,2103
47,520,1270
161,803,1217
1226,1329,1330
3,564,948
47,462,799
11,230,1162
547,944,1245
175,816,2093
486,1162,1967
175,953,1566
237,1163,2100
50,86,238
294,534,807
540,547,963
288,807,2099
2069,2094,2155
103,473,1602
730,807,1395
190,802,1162
136,137,518
312,1352,1655
266,807,2167
175,1456,1502
334,556,803
67,136,1145
13,807,1085
271,803,1330
671,807,1162
369,520,1270
48,132,582
334,1115,1238
13,961,2231
19,151,512
280,486,2021
336,807,959
626,763,2166
550,807,2231
16,17,944
47,463,549
17,78,223
91,948,1238
149,397,452
44,103,583
334,486,1985
807,938,1164
1128,1373,1520
47,807,1168
13,17,1015
136,950,1084
219,1128,1352
84,452,1257
35,151,334
47,78,520
136,534,1276
92,1520,2132
10,463,473
106,807,1164
14,19,1163
298,480,532
184,923,1493
210,1221,1614
564,1456,1708
151,175,1433
211,957,2166
195,298,430
134,1456,1566
48,289,499
18,48,1162
47,482,2039
12,91,600
1162,1163,1411
244,553,1126
1164,2042,2277
136,484,2159
939,953,1329
550,807,1163
37,219,430
807,2098,2151
83,190,413
948,950,1406
223,425,2118
13,129,2070
631,763,2076
807,1163,1975
242,298,1128
47,50,463
219,1114,1329
486,496,1164
136,228,950
480,910,2231
149,1164,1952
30,550,817
197,266,807
48,2098,2132
210,582,1124
802,807,1245
19,326,1271
207,948,1456
162,816,1115
520,1163,1165
168,223,298
151,463,1637
486,803,951
391,1114,1411
478,547,1164
136,948,970
17,83,600
175,280,736
807,1162,1411
136,486,2189
190,1127,2015
463,1559,2166
73,486,1093
334,537,1268
67,318,367
522,1163,1164
266,948,1492
188,549,1602
435,547,807
348,770,799
1373,1494,1502
210,1116,1419
573,576,582
177,1271,1330
493,1164,2099
463,471,480
326,547,963
551,951,1329
556,1276,1551
175,331,1115
13,19,37
788,1602,2166
155,452,925
105,190,1576
228,953,963
295,1036,1213
1164,1986,2095
19,1114,1612
484,693,1163
3,149,1096
46,134,242
537,948,1268
105,1116,1506
47,1125,1126
149,807,2021
92,1128,1612
43,210,1421
38,807,950
547,551,965
3,67,124
13,959,1128
463,768,893
487,816,963
184,1311,2166
38,307,551
47,315,1164
131,925,1116
348,1165,1986
185,190,768
230,807,959
452,480,534
151,518,807
43,190,1281
799,1163,1164
452,610,765
190,1059,1311
552,807,817
586,807,2167
149,1163,1456
225,549,1268
47,335,925
13,473,1133
319,520,807
43,807,959
0,56,829
807,1164,2062
49,117,770
484,529,2099
13,149,425
807,912,1986
84,149,210
175,212,816
4,104,136
42,149,977
807,1163,1960
452,1162,1380
736,803,807
462,2066,2092
807,1162,1622
20,149,1127
463,957,2180
266,513,948
549,553,816
175,237,280
91,985,1163
14,430,1270
486,1380,1986
399,551,1502
462,802,807
530,807,948
161,253,520
326,2098,2183
149,238,266
49,1564,2175
452,534,1553
237,261,541
1165,2042,2093
84,224,1040
463,959,1053
123,159,487
37,486,1245
19,1456,2066
650,950,2093
440,1252,1501
84,1329,1456
23,816,1164
136,485,807
175,378,1276
61,149,207
807,1079,1377
13,889,2136
17,948,1468
13,76,768
188,242,1145
507,532,1506
56,216,242
176,547,807
463,807,1245
92,376,2166
17,131,1551
83,103,1332
47,815,1582
137,175,1380
298,310,1130
550,807,957
47,1164,2095
42,220,770
137,165,723
575,807,1164
13,1602,2136
3,386,430
534,948,970
13,190,550
803,1035,1163
295,807,1421
462,520,768
86,93,123
451,510,1242
185,511,807
3,138,2109
484,963,2098
137,807,2277
9,258,288
13,1501,2099
549,1575,2093
11,582,799
462,486,1164
131,190,307
562,575,578
285,807,948
149,547,1468
43,1217,1226
266,1126,1456
551,807,2093
190,873,959
17,807,851
151,361,2118
10,13,957
175,487,816
35,1226,2067
17,463,927
13,190,1491
473,479,948
807,1115,1234
573,1226,1329
2,452,2166
56,59,950
815,1128,1602
149,486,2021
92,175,1234
778,959,1566
175,2068,2166
13,17,576
175,807,1502
17,161,2099
149,332,948
13,1127,2180
207,484,807
807,951,1501
83,797,1501
134,807,1417
17,1095,1126
136,484,1165
807,1221,1602
123,151,820
137,430,1245
242,529,1520
728,807,1163
