43,443,549,1270,1354,1373,1493,1502,1507,1566
47,123,151,280,444,817,950,1352,1512,2187
242,327,520,791,796,1058,1145,1331,1357,1405
17,19,67,520,551,803,807,817,1226,1329
67,188,242,280,298,817,1121,1128,1575,2035
149,341,342,484,580,1437,1438,1449,2099,2166
3,161,175,242,816,1329,1330,1501,1553,1612
9,230,238,258,280,298,452,514,950,1502
17,136,161,175,223,444,778,807,815,1502
136,190,225,266,298,547,570,576,582,948
14,121,123,151,294,430,817,1395,2166,2187
25,137,280,330,549,807,817,948,1163,1245
11,123,131,208,222,223,278,430,1281,1492
11,68,137,188,207,480,770,817,1126,1553
11,21,67,123,234,318,430,1270,1466,2191
19,67,123,151,230,334,444,452,817,1270
17,155,175,326,532,549,1276,1329,1502,1612
73,149,210,520,547,778,859,948,1536,2166
123,258,280,430,444,473,713,950,1456,1502
67,84,123,151,223,242,430,451,549,1575
19,21,43,161,188,242,258,549,582,817
41,67,123,151,215,278,430,1270,1275,1553
123,151,255,1238,1270,1352,1373,1421,1520,1553
68,175,207,473,950,1126,1268,1451,1494,1502
30,67,151,207,1020,1121,1270,1502,1512,2166
3,67,106,175,258,275,287,430,1121,1553
42,43,67,151,216,413,451,1281,1352,1502
123,159,225,242,444,452,1058,1127,1270,2166
3,20,128,307,313,335,818,1381,1422,2187
14,67,151,188,223,451,1121,1128,1271,2166
123,223,230,233,242,294,298,430,444,1502
151,313,430,506,638,818,1225,1243,1275,1377
11,42,43,123,234,547,817,1124,1412,2166
67,151,155,219,244,318,334,444,1133,2035
67,123,151,216,230,275,1352,1611,2166,2187
19,67,151,215,234,275,347,1130,1238,1554
42,123,151,230,258,318,803,817,1121,1352
47,68,117,242,325,512,817,948,1553,2166
9,188,207,231,278,298,452,582,950,1147
67,123,134,151,216,451,520,1154,1352,1512
3,43,67,188,215,223,444,1114,1127,1466
3,20,22,47,117,185,280,298,444,1502
3,67,242,318,553,1128,1270,1354,1421,2187
13,123,136,223,444,534,803,963,1329,1502
123,149,151,223,275,278,279,294,1270,1352
123,210,220,244,258,444,480,1114,1352,2187
20,67,123,129,188,230,258,451,1121,1502
3,151,215,223,520,580,582,1128,1270,2177
83,161,175,230,803,817,1121,1238,1266,1352
216,219,520,1114,1121,1257,1270,1502,1612,2166
47,67,123,444,973,1154,1225,1226,1266,1661
59,137,175,223,430,451,817,1121,1238,1502
3,92,234,815,1116,1121,1226,1257,1270,1329
67,242,266,289,430,444,520,582,1245,1352
17,47,123,216,234,312,430,444,803,1270
131,134,175,289,334,529,963,1116,1329,1502
67,151,188,215,234,444,451,1329,1395,2035
13,47,56,133,334,534,564,807,948,1330
42,123,137,162,210,289,307,444,1164,1329
67,129,259,430,444,817,858,1145,1462,1502
43,126,242,278,815,1116,1329,1331,1501,1612
56,137,146,175,347,507,796,807,1116,1123
3,67,151,176,442,520,1266,1270,1352,1507
59,132,161,177,326,1116,1501,1551,1712,2119
162,230,279,326,378,532,803,1248,1276,1329
11,20,67,123,206,1045,1193,1271,1456,2166
3,37,67,151,215,451,1275,1352,1553,2166
31,137,255,576,815,981,1126,1133,1245,1377
134,175,242,267,451,816,1116,1276,1553,1612
43,67,86,230,294,444,451,479,480,1462
137,149,280,504,520,547,815,816,817,1268
11,20,48,123,151,175,430,451,520,807
11,21,42,67,161,550,948,1133,1281,2166
3,43,151,195,275,1133,1247,1391,1502,2166
42,43,146,230,413,444,816,1257,1270,1502
37,151,175,334,442,817,948,1553,1593,1602
123,219,451,578,796,858,1352,1391,1553,2187
3,11,20,242,430,451,817,953,1128,1147
3,151,175,294,334,430,452,817,950,1457
3,48,137,149,242,444,473,547,854,1268
13,175,219,258,334,807,815,1114,1329,1502
19,30,48,161,564,768,851,1276,1502,2118
19,25,42,67,131,430,584,973,1128,1329
25,117,126,137,161,175,806,1238,1329,1612
38,67,123,124,210,225,266,278,298,318
21,242,244,258,953,1128,1266,1270,1352,2187
161,175,223,1457,1512,1551,1602,1624,2093,2098
44,161,175,267,529,807,815,816,817,1329
175,207,223,242,473,950,966,1553,1580,1712
17,151,175,215,223,271,817,1114,1297,1462
151,225,266,334,444,1502,1529,1602,1725,1744
123,219,444,582,816,948,1239,1329,1554,1708
67,123,132,137,230,266,584,817,1226,1502
1,20,123,176,296,430,975,1128,1347,1596
