330,807,1163,2093
13,807,944,1238
77,520,939,1329
47,485,807,957
43,334,807,816
123,759,807,815
210,280,430,1163
42,161,210,1725
610,765,1253,2166
47,2095,2099,2150
444,576,815,1281
452,484,807,944
38,948,1164,2166
175,292,549,807
3,151,1281,1352
59,61,169,1245
967,1133,1164,2099
13,190,807,1114
815,950,1456,2093
149,807,2147,2180
17,1163,1164,1986
17,47,586,1238
41,965,1162,1163
155,211,334,1395
807,1163,1252,2099
61,134,175,549
2092,2093,2098,2099
175,817,1111,1329
13,520,944,1410
278,443,451,948
131,134,807,1502
83,765,1795,2081
136,149,518,1329
155,190,484,2099
9,134,807,1462
13,17,47,963
137,452,1329,1551
57,549,807,948
151,807,1270,2069
161,190,527,1245
149,547,946,948
48,78,2098,2099
3,444,953,1575
133,326,807,817
13,807,902,1163
137,1115,1226,1501
30,807,1602,2191
149,534,965,1268
13,17,313,807
549,807,817,1245
190,1164,2098,2183
56,2093,2098,2099
486,807,951,1163
20,435,803,948
1164,1985,2093,2099
17,47,1163,1165
151,807,1270,1531
42,61,444,807
266,280,807,2158
137,518,1133,1330
13,1163,1506,1602
48,807,1163,1964
778,816,1133,1245
334,902,957,2070
307,807,1055,2098
161,176,550,1456
177,966,1506,1602
110,807,1163,1502
948,1329,1502,1551
123,175,223,1270
532,582,807,816
13,47,1238,2180
47,953,957,2180
816,932,1119,1129
326,549,807,1127
45,65,96,2166
212,520,1133,2099
1081,1469,2083,2175
326,520,1116,2144
42,56,535,1329
13,505,807,1163
214,1121,1533,2115
625,627,1795,2166
10,47,807,816
136,219,520,807
482,957,2177,2231
17,796,807,2093
807,1127,1164,1380
134,149,948,1566
13,807,2155,2231
3,47,476,778
452,816,1165,2093
1,30,242,1133
137,807,1116,1330
44,83,925,953
34,184,196,258
242,279,504,1266
210,326,807,1987
959,1116,1329,2183
278,441,953,1130
796,1443,1444,1468
556,1276,1329,1612
525,549,807,1126
83,807,948,1456
289,807,1238,1602
47,966,2066,2180
14,46,451,1241
83,1238,2166,2180
10,136,1421,2099
177,331,520,1276
30,49,430,944
13,47,190,1468
48,513,547,817
195,549,807,1456
61,484,1164,2093
155,556,948,1133
131,510,1493,1501
70,479,807,1127
188,318,443,1145
218,451,815,1395
292,547,817,948
13,800,959,2231
123,386,973,1329
134,807,1364,1575
123,155,1245,1602
35,317,425,1596
43,223,444,504
103,117,2127,2173
132,137,377,520
75,177,906,1602
151,195,803,807
3,175,430,1263
923,1238,1456,2166
47,280,505,549
175,550,950,965
42,59,177,1395
149,376,803,807
161,807,1276,2099
480,807,931,2067
13,807,957,2098
13,807,959,1127
223,430,2066,2094
137,534,807,1502
86,175,210,278
13,50,86,944
42,49,807,1164
175,473,486,1163
288,549,550,944
547,807,825,948
485,803,807,944
334,529,1276,1329
175,213,529,817
149,334,534,2206
3,10,17,162
266,435,486,948
161,220,326,1245
134,155,1163,1329
336,534,948,1245
175,532,1127,1373
30,529,807,815
17,1270,1272,1422
729,807,1395,1501
149,218,948,1124
123,149,430,816
807,875,1164,1958
175,520,1128,1329
210,485,1329,1419
473,803,1128,2166
1150,1164,1207,1417
30,1268,1359,2166
1965,2098,2099,2183
912,1163,1164,2099
3,258,520,796
47,83,136,778
482,1163,1226,1986
129,134,225,1329
529,1238,1395,2066
807,1985,2021,2189
149,534,1218,1456
59,242,816,1128
520,807,940,1164
136,1163,1164,1165
206,223,807,944
149,661,1164,2166
17,149,228,807
30,207,255,261
134,378,807,950
68,78,1137,1162
1,67,294,1275
175,1133,1329,1373
11,959,1328,1403
15,134,137,473
45,65,96,111
134,136,807,1271
123,188,294,520
13,482,972,2147
59,175,195,289
175,280,485,585
91,298,463,1365
190,807,968,1164
86,130,532,1266
10,47,803,948
13,520,687,768
513,1163,1403,2177
61,334,807,944
551,807,953,1270
136,195,547,952
161,175,1419,1602
136,141,329,500
223,312,807,1268
137,280,807,1380
175,210,730,1329
15,807,948,1162
56,948,950,1133
190,1329,1602,1614
3,807,964,2100
210,807,948,1127
13,190,480,774
190,730,807,1329
132,807,1466,1602
38,47,223,816
151,216,223,1114
149,518,815,1111
132,348,386,2166
3,47,807,2093
175,540,2098,2099
289,566,970,1126
175,377,817,1245
486,807,1164,1952
129,428,975,977
957,959,2059,2093
13,435,480,940
13,151,520,796
17,473,551,817
13,47,547,960
17,184,923,1165
13,47,803,1217
35,266,486,807
175,1329,1506,1602
17,41,59,730
10,47,151,2059
117,585,1328,1403
13,1123,2100,2158
47,1123,1162,1163
0,807,1115,1133
10,59,78,547
161,807,816,963
42,223,1114,1129
59,83,520,1163
13,294,312,1575
242,378,1276,1501
1245,1330,1492,1602
9,534,807,1395
17,123,342,807
132,549,807,2186
10,83,551,948
30,1116,1330,2166
134,347,1163,2099
137,435,547,948
149,485,807,2093
487,520,1580,2166
137,1270,1297,1395
10,41,61,2186
534,796,950,1602
255,532,1238,2115
266,807,2092,2159
219,242,312,807
13,83,108,1640
10,93,803,2095
48,444,1162,1329
59,807,1329,2066
210,278,807,1245
136,137,520,2132
780,804,959,1395
807,957,1133,1329
132,802,807,948
96,215,520,807
136,210,512,948
161,802,1133,1226
30,953,1133,1275
225,807,1162,1553
42,212,547,585
237,486,807,2098
131,155,817,1329
137,1238,1373,2166
4,191,294,1145
134,807,1121,1126
326,807,1163,1986
807,900,1602,2166
190,480,1164,2021
3,1352,1502,1596
244,504,807,1381
67,138,151,948
3,307,549,2088
161,176,473,520
484,1163,2093,2187
48,175,210,1574
520,807,2139,2166
175,210,549,1245
807,1115,1163,1164
803,815,1114,1163
13,190,435,902
47,137,184,514
149,161,386,807
83,550,807,953
149,326,547,854
190,298,452,853
195,267,280,534
13,452,944,1164
47,1164,1334,2093
195,944,1163,2183
345,579,796,1348
162,1127,1377,1421
176,334,1162,1329
21,444,803,2117
149,155,327,547
803,815,1226,2147
511,802,807,1986
298,495,532,1271
48,280,550,817
91,298,1137,2175
13,47,796,2231
149,547,948,1128
230,275,807,1725
47,335,950,1602
151,159,242,430
13,131,151,289
59,151,312,807
175,549,948,1245
10,149,484,1164
59,132,175,1329
67,123,216,2187
37,190,807,817
149,207,953,1581
807,950,951,1162
136,215,791,807
15,47,2098,2099
13,344,473,549
817,959,1329,1373
3,48,149,1270
242,534,730,944
162,444,520,547
807,1334,1419,1667
134,334,547,1381
151,444,1456,2166
210,215,334,1502
19,86,129,1128
989,1575,1593,2166
20,134,149,532
175,807,1380,1395
137,289,807,1111
190,298,532,688
83,807,951,959
93,1137,1328,1542
42,223,378,444
48,1352,2090,2093
56,807,944,2093
13,37,151,1575
556,818,1245,1501
134,451,1602,1612
347,520,1128,1270
210,520,911,1164
807,1456,1580,2087
151,223,1270,1531
123,136,260,803
20,266,534,550
1668,1795,2076,2166
149,768,807,1602
149,336,807,2166
137,1226,1377,2166
532,534,985,1405
161,730,807,1133
220,223,816,1114
430,770,807,851
175,480,1162,2167
164,241,444,1456
435,799,807,1380
151,190,549,816
123,175,190,1275
10,149,939,1234
161,298,532,2118
123,307,435,473
550,1164,1245,1329
123,219,444,2035
13,212,807,2100
307,1163,2099,2159
230,1352,1462,2166
15,2066,2115,2166
403,584,2166,2175
534,807,2093,2183
242,279,327,554
161,195,1115,1329
20,767,950,1128
47,807,953,1468
10,134,948,2098
231,298,452,687
67,318,514,2173
106,190,298,1427
47,137,1329,2095
19,151,444,975
137,210,334,1502
19,190,255,1421
13,480,807,878
774,946,2093,2098
42,175,176,807
47,67,123,585
430,532,1566,1602
280,778,939,950
17,68,137,1502
1116,1164,1329,2189
137,210,325,807
3,67,2035,2187
292,807,1164,1421
242,430,510,1275
149,161,261,1329
161,442,948,950
1162,1163,1164,2028
17,91,103,195
13,162,328,1329
136,280,548,1566
161,1128,1245,1270
326,534,807,963
149,807,959,1123
137,534,1234,1468
361,486,807,1164
279,520,807,1275
486,957,966,1163
13,520,547,552
210,815,1162,1245
700,1163,1164,2099
13,175,462,1602
83,210,334,948
440,520,1501,1551
151,155,219,1395
816,817,1276,1421
136,532,547,951
136,548,807,963
629,763,1668,2076
47,83,298,963
98,190,1502,1725
61,326,807,816
11,151,223,1281
47,190,463,1130
48,307,484,1165
155,520,527,1245
67,151,453,1145
3,266,278,332
83,92,1128,1361
34,298,302,339
155,175,190,803
1163,1245,1492,1602
387,807,1163,1164
37,175,1276,1395
151,1391,1421,2166
161,520,534,1468
484,807,1438,2288
123,381,1238,1352
67,123,430,2187
61,149,210,547
19,42,43,1121
137,190,676,807
136,280,950,1133
96,451,1238,1373
582,815,1163,1226
175,549,948,1238
129,303,950,1145
42,430,807,1162
344,348,796,1602
430,441,1275,2166
42,134,440,815
3,17,223,1443
19,47,151,816
13,17,137,1986
13,807,944,1433
266,914,947,2183
578,815,1226,1245
48,149,520,2066
149,210,532,911
13,47,223,2070
190,807,1069,1126
84,103,196,585
13,47,550,817
68,86,944,2166
211,430,1163,1245
149,484,547,963
149,160,207,1271
807,1163,1164,1373
47,185,347,1165
912,1162,1163,1164
19,92,473,796
138,1145,2093,2183
136,280,336,486
67,815,816,1395
47,807,950,1566
16,30,318,532
134,454,950,1163
19,585,799,1245
807,817,951,1116
1,242,820,1575
151,242,444,1352
105,190,476,582
215,218,768,1114
334,529,807,2155
1163,1164,1977,1986
550,1163,1164,1614
83,92,128,803
149,551,807,815
92,452,1373,1520
59,298,948,1163
103,413,1127,1238
17,131,132,136
177,280,927,950
279,948,1271,2139
35,570,1150,1571
79,83,807,877
3,1133,1329,1466
117,1162,1163,1607
802,816,1329,1501
83,134,149,520
123,175,807,1352
47,92,106,1127
57,298,732,2115
1441,1447,1541,2099
68,430,1328,1662
160,948,950,2102
3,151,312,430
175,1162,1163,1245
13,210,1165,1310
219,442,807,1462
151,1133,1135,1377
223,1270,1410,1411
1114,1163,1164,2093
136,547,550,965
1218,1467,2160,2166
47,91,1163,2099
17,25,47,1164
13,278,950,1456
151,807,1456,2059
161,288,1127,2067
19,242,796,1415
532,549,1245,1329
149,289,948,1245
136,550,553,1126
266,279,549,963
3,223,451,803
34,196,298,340
336,816,948,1658
298,504,534,1268
59,190,298,334
218,444,1114,1275
49,161,312,1154
11,130,944,2066
807,939,1602,2136
13,136,950,2180
67,452,687,1373
56,131,215,816
149,549,553,1602
149,151,482,774
534,547,1133,1551
484,1164,2099,2132
520,817,1127,2066
56,149,300,1501
188,230,312,1145
216,219,223,231
17,520,532,551
47,203,520,807
56,190,816,2155
175,807,1395,2100
134,951,1349,1393
175,510,1116,1551
169,807,1111,1395
25,190,435,1133
511,1421,1456,2100
19,190,298,2125
47,807,1164,2095
151,807,1164,1985
348,796,2166,2196
132,538,948,1126
86,452,459,1653
280,944,948,2098
42,228,815,817
47,258,350,2070
442,796,1352,1602
0,117,1350,1558
13,816,944,2180
13,893,948,2100
131,210,463,797
2,451,744,2166
78,190,807,1245
3,19,216,1502
496,807,1164,2099
11,430,807,1162
863,1162,2099,2166
9,86,1329,1602
534,549,807,1575
103,959,1114,2035
807,1163,2092,2098
117,1571,1649,1650
190,223,529,807
20,151,1352,1575
83,117,219,1575
767,807,1162,1163
224,534,803,1421
149,948,1145,1602
13,83,151,1145
47,816,908,1245
44,123,215,778
17,504,1163,1330
134,336,534,953
534,778,1150,1602
56,190,529,1329
575,807,957,959
155,215,525,1245
484,1164,1978,2099
151,334,768,803
56,452,807,1164
13,151,493,902
13,83,948,1027
17,190,486,872
451,1121,1421,1520
49,216,451,1502
318,1121,1531,1580
188,220,1462,2166
149,225,473,1116
402,807,863,2166
123,549,953,2067
67,298,1494,2035
19,35,47,151
817,1329,1433,2155
46,278,504,547
123,223,444,2092
216,275,1270,1512
11,67,1352,1502
3,48,223,1352
123,230,451,1502
451,520,807,1352
134,532,807,1502
179,196,721,1514
132,520,1133,1330
3,220,444,1147
230,486,1380,2115
46,1275,1520,1575
83,92,129,278
22,41,103,298
215,225,266,1123
151,442,451,1114
334,1602,2098,2099
47,171,185,462
47,627,765,1132
15,549,570,950
103,504,520,815
49,223,451,1352
348,803,959,1164
13,161,220,816
80,177,2093,2160
815,1164,2098,2099
175,950,1133,1147
151,218,430,1275
195,549,817,1163
67,123,216,451
430,1466,1553,1566
83,242,1151,1207
2,13,940,2166
266,303,812,1502
151,190,2069,2115
444,807,1163,1270
151,234,1121,1457
131,298,456,1271
0,549,807,1226
123,451,1352,1502
184,196,340,1346
67,219,327,1121
485,796,815,1133
19,210,807,1130
17,768,807,1163
11,129,985,1145
347,1235,1421,1422
137,803,1419,2166
83,280,334,473
132,1133,1329,1456
56,59,266,1329
520,534,1164,1614
48,134,1126,1334
175,807,948,1502
169,295,1329,2166
944,1162,1542,1662
67,83,136,294
9,103,582,948
35,1276,1602,1614
130,273,482,1164
175,547,944,2151
47,466,796,1128
